gene name	Scaled_TPM	group number
ttr-9	6.50089279680666e-07	1
E02H9.7	6.53699333101771e-07	1
H29C22.1	7.51783960793365e-07	1
acp-3	9.23114368805014e-07	1
ttr-12	1.01185820098152e-06	1
Y105E8A.27	1.02880325330719e-06	1
F56C4.1	1.04250566722823e-06	1
ZK863.1	1.16318863774129e-06	1
T20B6.2	1.25820799084412e-06	1
Y57G11C.23	1.93543563864485e-06	1
ZC190.8	2.18964620735697e-06	1
F10G2.7	2.23405908909735e-06	1
W09C3.2	2.45752428510062e-06	1
srg-56	2.47904330462687e-06	1
W03D8.1	3.09813542653675e-06	1
Y43F8C.5	3.10627599316724e-06	1
Y37D8A.19	4.16664973555838e-06	1
K07A1.6	4.23587836263333e-06	1
spe-19	7.51520271338123e-06	1
F58D2.2	7.59845911923885e-06	1
nmr-1	7.89309207807583e-06	1
C09B9.2	8.48126905051504e-06	1
F22F7.11	8.57032977358593e-06	1
W05B10.6	9.0872655386333e-06	1
W06H8.4	1.0027385659142e-05	1
C15H11.10	1.01208846142467e-05	1
C04H5.7	1.10682458405218e-05	1
nep-13	1.44392735421323e-05	1
Y71F9B.15	2.60799765906438e-05	1
Y116F11B.8	2.60931298731565e-05	1
nep-23	2.78601113990408e-05	1
ZK813.7	2.96208049870838e-05	1
F37A4.4	3.04858453190138e-05	1
frpr-2	3.07178864764454e-05	1
irld-14	3.40459173986798e-05	1
C44C10.7	3.83238160224341e-05	1
F36G9.15	4.4419095743491e-05	1
nkb-2	4.45003496342961e-05	1
aexr-2	4.81652003507414e-05	1
H12D21.2	5.05083436235543e-05	1
F58D5.8	5.42262662486858e-05	1
F32H2.12	6.0549034172616e-05	1
K08C9.2	7.14694255330713e-05	1
F35E2.9	7.59534724751302e-05	1
W02D9.6	7.64432264288386e-05	1
Y43F8A.2	7.67498895496428e-05	1
B0496.2	0.0001238733438291	1
nep-10	0.00013167381544	1
F16B12.1	0.0001426990396337	1
ZC373.2	0.0001432775441312	1
F28A10.8	0.0001512287514275	1
R105.5	0.0001547010334905	1
nep-20	0.0001950694093705	1
T19H5.7	0.000202862909919	1
E03G2.1	0.0002335953932446	1
srxa-14	0.0002382984784294	1
tsp-18	0.0002387190997948	1
snf-5	0.0002388195562896	1
W03G11.2	0.000273944738414	1
ZK892.4	0.0002879490059535	1
T04A6.3	0.0003291558830979	1
unc-3	0.0003675719434192	1
srsx-16	0.0004104209046112	1
C29E4.10	0.0004754544102433	1
try-7	0.0005106908461311	1
F14D7.1	0.0005941631172684	1
K11H12.6	0.0006015380813601	1
srg-42	0.0006148786728006	1
F57A8.6	0.0006294404804695	1
fbxa-100	0.0006427428709683	1
del-8	0.0007308308879029	1
F36A4.5	0.0007697395422629	1
egl-46	0.000817914190571	1
ZK973.4	0.0008761699795289	1
F56D5.9	0.0009664298936228	1
Y116A8A.7	0.0009810167681358	1
lgc-52	0.001018973893402	1
ule-5	0.0010569607230378	1
ZK813.1	0.0011295370799561	1
