gene name	Scaled_TPM	group number
M02B1.4	3.39097430346906e-07	1
acp-3	3.45820676170803e-07	1
irld-56	4.14976725561436e-07	1
twk-40	4.1674399403226e-07	1
tsp-18	4.67703114450706e-07	1
Y57G11C.1143	4.7178984278751e-07	1
Y47H9B.2	5.21242230150759e-07	1
T08B6.4	5.8326162217688e-07	1
H29C22.1	6.1375810187903e-07	1
F59B1.6	6.43431903709377e-07	1
K07A1.6	6.77153844888698e-07	1
ttr-14	7.3835820365525e-07	1
dmsr-12	7.41498417088074e-07	1
ZK84.2	7.93779959987762e-07	1
E02H9.7	8.22886855906934e-07	1
ttr-12	9.35945397044471e-07	1
abu-9	9.53051347022457e-07	1
elo-7	1.06625074196026e-06	1
ZC190.8	1.33143398236875e-06	1
unc-8	1.58722096814054e-06	1
Y105E8A.27	1.82376427324302e-06	1
Y116F11B.8	2.1296781523681e-06	1
Y43F8C.5	2.17252501770097e-06	1
C09B9.85	2.49516819337485e-06	1
C15H11.10	2.65215482547725e-06	1
nep-15	2.72473603819608e-06	1
C09B9.2	2.91363142754092e-06	1
Y37D8A.19	2.94437601020285e-06	1
nep-7	3.09747259378471e-06	1
W09C3.2	3.41988614174308e-06	1
pqn-98	4.96052411035565e-06	1
sre-15	5.96743930905398e-06	1
T20B6.2	6.89720303358905e-06	1
F58D2.2	7.37227024274515e-06	1
twk-37	8.43534317854599e-06	1
ZK863.1	8.9144155246091e-06	1
ZK813.7	9.00791846459673e-06	1
K02F6.3	1.19630518606311e-05	1
ccb-2	1.2699191265095e-05	1
irld-14	1.39801758892142e-05	1
C04H5.7	1.4014190454647e-05	1
spe-19	1.71194052614673e-05	1
nep-23	1.72947426821163e-05	1
F58D5.8	1.86511941153177e-05	1
F37A4.4	2.01471782739355e-05	1
F35E2.9	2.32281975768595e-05	1
nep-13	2.40193489832728e-05	1
W05B10.6	2.43708689483469e-05	1
nep-10	2.98043322861802e-05	1
W03D8.1	3.19280907416272e-05	1
frpr-2	3.3268428775266e-05	1
nkb-2	3.84924074639363e-05	1
Y71F9B.15	4.51053194236833e-05	1
nmr-1	4.6139221078199e-05	1
ZC373.2	6.18685283638328e-05	1
srsx-21	7.24243236922231e-05	1
K08C9.2	7.2497829946064e-05	1
str-144	7.41738244289177e-05	1
lgc-13	7.516907560789e-05	1
nep-20	7.99820307222936e-05	1
F08F3.1	8.1773071880759e-05	1
W02D9.6	8.67823741419316e-05	1
B0416.3	8.96676038900296e-05	1
Y57G7A.6	9.29560259731611e-05	1
W03G11.2	0.0001041691280136	1
K06B4.15	0.0001060093482658	1
nmur-1	0.0001064992848757	1
best-25	0.0001073710368111	1
gcy-13	0.0001096949059103	1
F32H2.12	0.0001179134975268	1
mec-3	0.0001236265676687	1
pitr-3	0.000177380751535	1
T19H5.7	0.0001819703067561	1
F19C7.5	0.0001874342359318	1
C28C12.11	0.0001904708839139	1
dgk-3	0.0002077417034979	1
scl-23	0.0002149165210155	1
T05B4.14	0.0002303467705933	1
Y39A3B.1	0.0002418798073075	1
R05C11.2	0.0002580779196087	1
T21E8.6	0.0002897374805221	1
grl-26	0.0003056513459758	1
C06A1.7	0.0003209963474234	1
C50H11.13	0.0003506123499736	1
srtx-1	0.0003600284848089	1
ule-5	0.0004108306694547	1
Y60C6A.1	0.0004634993349263	1
ZK813.1	0.0004990053612937	1
des-2	0.0005295529773633	1
F55B11.2	0.000538432885455	1
K07H8.7	0.0006333752747849	1
snf-5	0.0007248569434951	1
B0303.16	0.000742311254317	1
abf-1	0.0007535122854702	1
try-7	0.0007781669062814	1
best-1	0.000834267488705	1
sra-17	0.0008501633019325	1
spe-12	0.0008695722028853	1
fax-1	0.0008825783182232	1
twk-35	0.0009687631704929	1
irld-18	0.0010184044458214	1
Y47D3A.13	0.0011090754980864	1
del-8	0.0011904077468113	1
clec-202	0.0012287436758098	1
F40H6.1	0.0012569087344098	1
F14D7.18	0.0013197513390743	1
ZK721.4	0.0013367097070472	1
T04A6.3	0.0013921252161386	1
F41D3.6	0.0014294361427496	1
F36D3.5	0.0014390411531061	1
lgc-52	0.0014640312311636	1
F49E12.7	0.0014804266943848	1
F54F7.9	0.0015299512739529	1
srg-46	0.0015327683594395	1
Y43F8A.2	0.0017049136217863	1
Y22D7AR.3	0.0017433076819585	1
Y75B8A.44	0.001753924336806	1
irld-3	0.001779540565914	1
F22D3.4	0.0017858784940403	1
poml-1	0.0018279105853638	1
F13E9.14	0.0018562209216983	1
srv-16	0.0018590492200306	1
F09B12.5	0.0018840322995382	1
mls-2	0.0020970198115831	1
fbxa-100	0.0021125578091622	1
F46F5.15	0.0021227956102172	1
spe-38	0.0021451380261557	1
F32D8.2	0.0021562168377514	1
Y27F2A.6	0.0021624896699725	1
nep-5	0.0021878757302809	1
ZK973.4	0.0021890785264914	1
best-11	0.0022023150573782	1
aqp-5	0.0022044875035012	1
tat-6	0.0022782053299277	1
T21C9.11	0.0022989881551263	1
W01C9.1	0.0024298832794765	1
R07D5.2	0.0024746885583891	1
D1086.6	0.0025199973264763	1
F25H5.2	0.0025836844532177	1
clec-223	0.0026006880955982	1
oac-19	0.0026371915232054	1
oac-9	0.0026440667112274	1
Y116A8A.7	0.0026698795002735	1
C12D8.13	0.0027435516351875	1
Y54G2A.15	0.0027502625883632	1
D1081.11	0.0028584812043801	1
ncx-9	0.00289667510868	1
acr-23	0.0028974857291069	1
ZK673.11	0.0030000081716305	1
Y57G11B.3	0.0030281416669507	1
gcy-2	0.0031160598956871	1
fbxa-45	0.0032740177135934	1
Y50E8A.6	0.0033106818155316	1
T20B6.1	0.0034847060139692	1
egl-46	0.0035418392012473	1
irld-57	0.0035640371352942	1
gei-18	0.003583243641711	1
cri-1	0.0036246219336911	1
srz-97	0.0036257797991563	1
fbxa-169	0.0036258730898707	1
F59B10.2	0.0036259163005928	1
sre-27	0.003626027622725	1
glr-3	0.003832449551993	1
ZK688.10	0.003894587392539	1
D2062.13	0.0039332065098143	1
clec-79	0.0040188997766535	1
F36D1.6	0.0040263841923754	1
npr-23	0.0040749044991321	1
F10G2.7	0.0041799316459873	1
npr-19	0.0042384856443595	1
