Geneid	Mean of Geneid Strains	Standard Deviation of Geneid Strains
WBGene00021211	1071.6667;	279.1801;
WBGene00004028	1795.0000;	585.3836;
WBGene00044434	147.3333;	25.7207;
WBGene00236789	2.6667;	2.4944;
WBGene00000623	7.0000;	5.7155;
WBGene00198328	0.0000;	0.0000;
WBGene00000624	1.3333;	1.2472;
WBGene00021213	28.0000;	14.8997;
WBGene00023169	0.0000;	0.0000;
WBGene00197162	0.0000;	0.0000;
WBGene00021212	2.3333;	1.6997;
WBGene00020282	287.3333;	26.5874;
WBGene00020283	46.3333;	35.9753;
WBGene00020281	25.3333;	22.4846;
WBGene00196394	0.0000;	0.0000;
WBGene00196011	0.0000;	0.0000;
WBGene00201573	0.0000;	0.0000;
WBGene00201667	0.0000;	0.0000;
WBGene00195514	0.0000;	0.0000;
WBGene00199422	0.0000;	0.0000;
WBGene00022518	662.3333;	215.5927;
WBGene00023398	0.0000;	0.0000;
WBGene00200408	0.0000;	0.0000;
WBGene00201436	0.0000;	0.0000;
WBGene00202093	0.0000;	0.0000;
WBGene00197978	0.0000;	0.0000;
WBGene00195610	0.0000;	0.0000;
WBGene00200506	0.0000;	0.0000;
WBGene00197264	0.0000;	0.0000;
WBGene00022517	78.6667;	94.2844;
WBGene00022519	130.0000;	46.0072;
WBGene00202359	0.0000;	0.0000;
WBGene00022388	3993.6667;	1260.4698;
WBGene00022389	586.6667;	268.4739;
WBGene00022386	66.3333;	22.4846;
WBGene00022390	206.6667;	64.5876;
WBGene00001678	1281.3333;	282.1658;
WBGene00220217	0.0000;	0.0000;
WBGene00022385	171.0000;	120.2331;
WBGene00022391	43.0000;	19.8158;
WBGene00201274	0.0000;	0.0000;
WBGene00022383	30.0000;	33.9509;
WBGene00003548	11.6667;	13.0213;
WBGene00199411	0.0000;	0.0000;
WBGene00200422	0.0000;	0.0000;
WBGene00195544	0.0000;	0.0000;
WBGene00023199	0.0000;	0.0000;
WBGene00003238	466.6667;	163.0630;
WBGene00018787	118.6667;	46.6500;
WBGene00018788	248.3333;	83.9696;
WBGene00197993	0.0000;	0.0000;
WBGene00200860	0.0000;	0.0000;
WBGene00018786	1268.0000;	948.8930;
WBGene00016932	3.3333;	3.3993;
WBGene00196934	0.0000;	0.0000;
WBGene00199650	0.0000;	0.0000;
WBGene00016931	5.6667;	3.0912;
WBGene00016930	810.3333;	98.0351;
WBGene00236808	41.3333;	5.7349;
WBGene00005002	5814.0000;	2333.2228;
WBGene00021335	619.0000;	122.6078;
WBGene00021327	2479.0000;	511.2397;
WBGene00004952	4829.3333;	125.1887;
WBGene00021329	1136.0000;	417.9019;
WBGene00021332	1360.0000;	304.5390;
WBGene00021331	2676.3333;	756.4061;
WBGene00021333	52.6667;	22.2910;
WBGene00021334	3223.0000;	511.9772;
WBGene00021328	51.6667;	21.4528;
WBGene00001745	89.6667;	35.3679;
WBGene00019909	23.3333;	7.3182;
WBGene00044895	24.0000;	3.2660;
WBGene00019911	81.3333;	30.7390;
WBGene00174760	0.0000;	0.0000;
WBGene00022838	3.3333;	2.6247;
WBGene00236809	1.0000;	1.4142;
WBGene00202055	0.0000;	0.0000;
WBGene00022837	14.0000;	19.7990;
WBGene00021689	1481.3333;	255.6956;
WBGene00000165	3477.0000;	2146.5052;
WBGene00198207	0.0000;	0.0000;
WBGene00195424	0.0000;	0.0000;
WBGene00004429	67397.6667;	12246.9137;
WBGene00021687	697.0000;	232.3116;
WBGene00001816	618.0000;	574.3977;
WBGene00004880	1623.3333;	519.2028;
WBGene00249808	45.6667;	10.3387;
WBGene00021686	5095.3333;	518.3604;
WBGene00021685	2370.6667;	321.0964;
WBGene00195068	11.0000;	8.2865;
WBGene00021690	20.6667;	17.7826;
WBGene00021691	2750.3333;	1456.0827;
WBGene00201777	0.0000;	0.0000;
WBGene00021692	461.6667;	61.6027;
WBGene00001707	61.6667;	43.7061;
WBGene00201534	0.0000;	0.0000;
WBGene00200307	0.0000;	0.0000;
WBGene00197713	0.0000;	0.0000;
WBGene00199486	0.0000;	0.0000;
WBGene00021693	16.6667;	10.3387;
WBGene00021694	0.3333;	0.4714;
WBGene00003400	391.3333;	142.4578;
WBGene00197361	0.0000;	0.0000;
WBGene00044896	52.0000;	13.1403;
WBGene00019674	21.0000;	11.2250;
WBGene00045052	71.3333;	22.1259;
WBGene00045053	44.6667;	19.9555;
WBGene00004888	17675.6667;	4939.7749;
WBGene00019673	4393.0000;	1273.5308;
WBGene00022363	1950.0000;	386.8497;
WBGene00022366	628.3333;	85.9858;
WBGene00022365	270.3333;	29.4090;
WBGene00022367	136.6667;	10.4987;
WBGene00022372	724.0000;	250.2572;
WBGene00022371	679.3333;	271.7319;
WBGene00022368	1500.3333;	455.6295;
WBGene00022369	16001.3333;	11635.8433;
WBGene00022370	16.0000;	8.1650;
WBGene00022373	1853.3333;	211.9392;
WBGene00018159	1383.6667;	68.9025;
WBGene00219937	0.0000;	0.0000;
WBGene00004969	2785.6667;	1338.8832;
WBGene00196566	0.0000;	0.0000;
WBGene00023055	0.0000;	0.0000;
WBGene00001773	11.6667;	6.6500;
WBGene00018580	78.0000;	22.8619;
WBGene00018579	46.6667;	39.5418;
WBGene00001115	322.6667;	64.6031;
WBGene00170789	0.0000;	0.0000;
WBGene00022361	1986.0000;	560.4468;
WBGene00022360	1052.6667;	280.1730;
WBGene00022358	781.0000;	108.3728;
WBGene00172419	0.0000;	0.0000;
WBGene00005077	2557.0000;	761.6421;
WBGene00195355	0.0000;	0.0000;
WBGene00023198	0.0000;	0.0000;
WBGene00022270	177.3333;	52.8289;
WBGene00022271	87.0000;	69.5318;
WBGene00022272	5.3333;	3.8586;
