gene name	Scaled_TPM	group number
F22F7.11	8.8220270791728e-06	1
Y116A8A.2	9.24297293622609e-06	1
W05B10.6	1.00303887668927e-05	1
B0563.18	1.4856601208495e-05	1
F58D5.8	1.50031870054819e-05	1
ace-4	1.61731489621841e-05	1
C04H5.7	1.79316686110726e-05	1
ZK813.7	1.9051327173505e-05	1
irld-14	2.38712643679182e-05	1
srx-2	2.87886331609091e-05	1
spe-19	3.42871511603437e-05	1
Y116F11B.8	3.51588926368692e-05	1
F37A4.4	3.87918799847859e-05	1
nep-10	3.9843971497057e-05	1
K02F6.3	4.17689960540572e-05	1
Y71F9B.15	4.32843258060388e-05	1
F35E2.9	4.37831659745831e-05	1
nep-13	4.67728708990276e-05	1
srab-14	5.0544993627181e-05	1
T25E4.2	5.25363624670008e-05	1
nkb-2	5.49198309933594e-05	1
nep-23	5.81285967052717e-05	1
ZC190.7	6.25796310573056e-05	1
str-138	7.28486891136398e-05	1
W03D8.1	7.40325495636761e-05	1
R13A1.1	8.52432478295852e-05	1
K12B6.4	0.0001012137996063	1
E03G2.1	0.0001070597357612	1
W02D9.6	0.000107868313249	1
tsp-18	0.0001081107563384	1
ZC373.2	0.000116220272439	1
C24H11.2	0.0001228259403195	1
VY10G11R.1	0.0001518753050838	1
T19H5.7	0.0001601115084486	1
nep-20	0.0001805717083376	1
aexr-2	0.0001864272140848	1
C28C12.11	0.0001865922976371	1
delm-1	0.0001933245545544	1
F28A10.8	0.0001970278495528	1
srm-4	0.000215947473955	1
K06B4.15	0.0002172720570473	1
W03G11.2	0.000228196467922	1
nep-7	0.0002342398197953	1
best-25	0.000287481345602	1
E02H9.7	0.0003641726598929	1
Y57G7A.6	0.000471324713898	1
clec-223	0.0004982712345893	1
ZC84.6	0.0005071271579147	1
abf-1	0.0005135298220776	1
clec-202	0.0007027777541933	1
fbxb-111	0.000720208219827	1
F54F7.9	0.0007242723692868	1
F36A4.5	0.000749425990884	1
Y43D4A.2	0.0008111775086449	1
H23L24.4	0.0008478181231545	1
C25B8.8	0.0008583602816346	1
scrt-1	0.0008609417612776	1
T05A7.11	0.0009215220612045	1
T04A6.3	0.0009483943057478	1
ZK813.1	0.0009868005141971	1
srx-111	0.0010200142215923	1
T05B4.14	0.0010316683861692	1
clec-32	0.0010424706898551	1
fbxb-29	0.0010444243801601	1
T28A11.17	0.0010563158663127	1
F09C6.1	0.0010687040553066	1
C34C6.9	0.0010892180994308	1
ule-5	0.0010896253964344	1
nhr-262	0.0010939588581033	1
srh-129	0.0012265623448296	1
Y22D7AR.3	0.0012461440431204	1
F56D6.6	0.0012573178696299	1
srd-59	0.001299845684747	1
irld-65	0.0013018869503906	1
fbxb-60	0.001335089897679	1
npr-7	0.0013481193123198	1
M03A1.8	0.0013532488368083	1
F55B11.2	0.0013731314064411	1
srg-47	0.0014549107833511	1
C26D10.7	0.0014855744755252	1
T05B4.9	0.0015603524515239	1
C45G9.14	0.0015615641507676	1
W04G5.7	0.0015675442464824	1
E02C12.12	0.0015719258802979	1
F46F5.16	0.0015879116443796	1
math-15	0.0016285042892735	1
clec-108	0.0017450287838132	1
twk-20	0.0017661424824453	1
nhr-282	0.0018375846630828	1
lips-6	0.001863347206391	1
C08F8.15	0.0018867417675904	1
oac-13	0.001918378529363	1
srbc-33	0.0019577075484431	1
scl-23	0.0019789313952148	1
Y81B9A.1	0.0020051669607494	1
srx-19	0.002130804163396	1
T03F7.6	0.0021536824746182	1
sek-5	0.0021660117255678	1
srxa-8	0.0021661365527236	1
Y27F2A.6	0.0021752779049368	1
nhr-167	0.0021874373804688	1
egl-5	0.0022328569237048	1
nas-3	0.0022780625982807	1
K08D10.5	0.0022858316556945	1
Y53G8AM.4	0.00231180743485	1
F36D3.5	0.002335838092794	1
sri-26	0.0023649619036315	1
srh-201	0.0023662277854482	1
F53C3.3	0.0023992927676724	1
arl-6	0.0024041203332015	1
srh-296	0.0024105534036547	1
srh-154	0.002427089663166	1
F59A1.13	0.002459535157351	1
clec-138	0.0024619570356335	1
Y57A10C.10	0.0024627479006439	1
F56A11.4	0.0024764608161554	1
dgn-3	0.0024806247877155	1
best-11	0.0025027350425607	1
F57A8.6	0.0025079589416087	1
R05F9.7	0.0025281979523249	1
irld-32	0.0025399438311482	1
T28A11.25	0.0025419252517044	1
F29A7.3	0.0025599302543405	1
spe-12	0.0025870053127812	1
srw-16	0.0025907278790984	1
hum-10	0.0026161919666208	1
srx-129	0.0026188342755236	1
fbxc-34	0.0026220170615492	1
med-2	0.0026289349502142	1
bbs-1	0.0026349717858615	1
irld-36	0.0026354927488353	1
Y102E9.6	0.0026413623996608	1
cyp-33C11	0.0026599363037812	1
catp-2	0.0026736978377336	1
Y46B2A.2	0.0027075433324228	1
M04C7.3	0.0027139354016941	1
F32H2.12	0.0027153473451643	1
srr-10	0.0027356308862201	1
srx-68	0.0027960204385694	1
C05C9.2	0.0028233369360255	1
F11A1.2	0.0028825692206665	1
Y9C9A.5	0.0028858203448915	1
nmur-1	0.0028974661359259	1
sru-29	0.0029379478169099	1
sri-43	0.0029665264921498	1
clec-163	0.0029666058345328	1
srh-281	0.0029890389456433	1
aqp-12	0.0029916715647594	1
F17B5.10	0.0030211262987397	1
sra-20	0.0030234568391117	1
W07G4.1	0.0030245031213875	1
R02C2.6	0.0030245031213875	1
dsl-1	0.0030886332334609	1
F46B6.2	0.0030886333370167	1
cyp-13A11	0.0030905779376698	1
ZC404.1	0.0031373610267031	1
Y39B6A.7	0.0031461877388418	1
F07E5.4	0.0031638006077474	1
C27A7.9	0.0031647358950066	1
C30A5.16	0.0031694272031795	1
ZC204.13	0.0031844497782337	1
lgc-19	0.0032289640953882	1
srz-10	0.0032521271123192	1
F52D2.5	0.0032694223422623	1
K11E4.6	0.0032700501343023	1
str-31	0.0032714685948569	1
T13F2.4	0.0032723526950735	1
C37C3.17	0.0032792566792824	1
K02B2.6	0.00330736561463	1
F43D2.3	0.0033094717636013	1
Y24D9A.5	0.0033204694241208	1
C16C8.17	0.0033371482677588	1
srt-25	0.0033377085184652	1
srh-283	0.0033453088790378	1
Y45F10B.8	0.0033611376575256	1
F41G3.3	0.0033645485012886	1
str-3	0.0033675838262529	1
F49D11.4	0.0033943281480229	1
Y57A10B.2	0.0034479062860782	1
oac-9	0.0034683572694041	1
B0228.9	0.0034754780740307	1
T05A8.1	0.0034765114865	1
C39E6.2	0.0034803821723696	1
irld-2	0.0034930470742932	1
slc-28.2	0.0035251190507528	1
C25F9.16	0.003530885273817	1
col-135	0.0035558077286802	1
F26A1.7	0.0035687831266071	1
hpx-2	0.0035848187055457	1
C29E4.10	0.0035878817470402	1
fbxb-93	0.0036017690533043	1
nhr-234	0.0036063100902797	1
Y57G7A.2	0.0036240523300002	1
fbxa-176	0.0036573200107261	1
pals-20	0.0036573200107261	1
srh-170	0.0036582306758515	1
fbxa-154	0.0036767424389263	1
F32H2.6	0.0037306938922755	1
nmur-2	0.0037503615634566	1
srg-37	0.0037503616219841	1
C17B7.5	0.0037624174748183	1
srh-279	0.0037705744887155	1
srw-124	0.0037833522175929	1
sri-78	0.0038255496382315	1
F52E1.3	0.0038269421144226	1
sri-31	0.0038303631174664	1
srz-29	0.0038322350307731	1
srz-3	0.0038323769614181	1
F47B10.3	0.0038332047266791	1
lurp-2	0.0038337397795958	1
F13E9.8	0.0038337917640856	1
sre-33	0.0038337917746225	1
sri-60	0.0038337917746225	1
srh-97	0.0038337917746225	1
srh-255	0.0038337917746225	1
srbc-61	0.0038446457427747	1
Y38H6C.19	0.0038591943338778	1
F19G12.3	0.0038625099313815	1
nep-5	0.0038654082102759	1
srg-22	0.003885273374335	1
C46H11.3	0.003891662286027	1
K12H6.7	0.0038992765544568	1
C06E7.88	0.0039019165050358	1
T05E12.9	0.0039103690898956	1
srd-8	0.0039165001689666	1
F53B2.1	0.0039295811638144	1
rac-2	0.0039409602214499	1
F57F4.2	0.0039639529052369	1
T01B11.1	0.0039906076745152	1
col-164	0.0039994540850772	1
F47G9.6	0.0040146368487658	1
F45D11.14	0.0040152184330273	1
sru-38	0.0040186578117172	1
F47F6.9	0.0040377716305272	1
M01G12.7	0.0040467117801959	1
srh-271	0.0040514320002647	1
F10G2.7	0.0040569719939222	1
K10G6.4	0.0040570922273649	1
C18H9.1	0.0040705620098505	1
srh-10	0.0040831486716049	1
glr-8	0.0041009019418488	1
C33C12.12	0.0041088404430161	1
sri-42	0.00411672334164	1
oac-2	0.00412943984583	1
Y116F11B.2	0.0041427173035906	1
C47F8.6	0.0041429057379719	1
Y106G6E.8	0.0041553348227352	1
Y43F8B.10	0.0041577477273477	1
F19C7.5	0.0041785313822805	1
srd-5	0.0041835555003717	1
ZK666.12	0.0041987634875387	1
F41D3.9	0.0042081401700064	1
sra-32	0.004214635515254	1
clec-45	0.0042205402532366	1
sru-16	0.0042315430308083	1
F21D12.2	0.0042441116835341	1
K09E2.1	0.0042506290489439	1
fbxa-152	0.004251970057464	1
srh-133	0.0042589379031043	1
pals-2	0.0042670227150128	1
srw-88	0.0042713688269841	1
srsx-7	0.0042912749162889	1
F42G2.7	0.0043049099505487	1
T05C7.4	0.0043184292330002	1
F35A5.5	0.0043312702538106	1
C06E2.2	0.0043423698729098	1
str-244	0.0043423698729098	1
C40A11.3	0.0043632050219327	1
srh-204	0.004373720851755	1
Y69A2AR.24	0.0043853847524036	1
Y7A5A.6	0.0043957927324249	1
F35F11.3	0.0044111524273087	1
glc-3	0.0044265263147925	1
srxa-13	0.0044280749755751	1
Y41D4A.1	0.0044633872575638	1
sri-77	0.0044696221705112	1
C16D6.1	0.0044721138480252	1
T04G9.6	0.0044800563224536	1
ZK381.8	0.0044961893980618	1
B0303.16	0.0045107393777278	1
fbxb-26	0.0045123949215167	1
srsx-32	0.0045173056407809	1
R05H5.7	0.0045386642881373	1
T26E3.5	0.0045835511633013	1
Y75B7AL.2	0.0046133456774574	1
str-174	0.0046232001174221	1
str-240	0.0046323306219341	1
T01D1.5	0.0046340437484582	1
spp-9	0.0046446742438069	1
Y45F10D.15	0.004653243744287	1
ZK863.1	0.0046742688594716	1
his-30	0.004676628125625	1
skr-13	0.0046810087060455	1
Y38H6A.1	0.0046913311202689	1
srg-46	0.0046985903412106	1
fbxc-29	0.0047039558003557	1
T25B2.1	0.0047368187405009	1
C45G9.10	0.0047443406063991	1
srh-42	0.0047531886655242	1
F59B10.2	0.004766785971126	1
T10G3.4	0.0047825727417651	1
srg-66	0.0047837711423431	1
srg-21	0.004788235716367	1
srt-41	0.0048078634287538	1
T27E7.5	0.0048279509518701	1
col-41	0.0048365996123247	1
ZK783.7	0.0048429766138508	1
col-75	0.0048648960345275	1
gcy-21	0.0048915074440846	1
ZK1248.4	0.0049096541560343	1
nhr-186	0.0049181987380694	1
F26F2.1	0.0049223801167088	1
grd-2	0.0049261285241833	1
F02D8.1	0.0049336548033812	1
Y43F8B.25	0.0049411395706145	1
fip-1	0.0049433338794215	1
str-23	0.00494672723702	1
sri-2	0.0049575415443195	1
T20D4.10	0.0049642054103532	1
srt-23	0.0049678138419485	1
F56D2.8	0.0049844343414452	1
srh-59	0.0050093281042317	1
chil-27	0.0050103171225001	1
R10E8.2	0.0050184274579131	1
B0563.1	0.0050426611450111	1
F38B6.2	0.0050716713839239	1
T14E8.2	0.0050747467484057	1
cyp-35B2	0.0050758114585401	1
T28C12.1	0.0050763067656345	1
F22E5.12	0.005096347348877	1
srg-23	0.0050983595992974	1
mltn-13	0.005122374284995	1
sdz-37	0.005128506162926	1
abu-4	0.0051353403830852	1
R13H4.6	0.005143682684781	1
ZK973.4	0.0051476295277214	1
Y50E8A.6	0.005158926968623	1
fbxa-194	0.0051632753092604	1
sru-7	0.0051864445433122	1
R05A10.1	0.0051877935334034	1
srh-216	0.0051961481166506	1
D1081.11	0.0052091178680697	1
str-92	0.0052550943218178	1
T26H10.2	0.0052734387324375	1
srd-9	0.0052774627689546	1
C09G1.3	0.0053168327043766	1
ccb-2	0.0053293639156314	1
Y22F5A.11	0.0053486243614218	1
K09C8.2	0.0053491920233405	1
srd-2	0.0053523498404232	1
C24H12.6	0.0053790190906848	1
gcy-8	0.0053897480831478	1
F47E1.3	0.0053909050885326	1
srv-4	0.005405639543665	1
dct-8	0.0054057533746742	1
acr-6	0.0054086377970177	1
math-19	0.0054102979429985	1
srr-8	0.0054156023617341	1
T03F6.7	0.005424190487296	1
F07G11.1	0.0054279519864972	1
C54E4.1	0.0054360654953562	1
clec-119	0.0054386354432598	1
str-261	0.0054520197179315	1
sri-70	0.0054628821986246	1
B0511.17	0.005463773837688	1
clec-250	0.0054983240064524	1
nstp-7	0.0055022764881383	1
gnrr-7	0.0055161180091503	1
srxa-10	0.0055169740143308	1
srw-3	0.0055431738144657	1
C08B6.6	0.0055461533890793	1
T06F4.3	0.0055503733693167	1
W05G11.4	0.0055755061169148	1
str-256	0.0055922896836769	1
srw-136	0.0055984868053609	1
srh-7	0.0056115222129885	1
Y73C8C.4	0.0056159652646209	1
C31E10.1	0.0056265838764452	1
F54D10.9	0.0056490379815999	1
